"Año";"Periodo";"Variación de la media en lo que va de año"
"2003";"Año";"2,2"
"2004";"Año";"1,8"
"2005";"Año";"3,6"
"2006";"Año";"2,4"
"2007";"Año";"2,3"
"2008";"Año";"-0,5"
"2009";"Año";"-5,8"
"2010";"Año";"-1,3"
"2011";"Año";"-0,6"
"2012";"Año";"-2,9"
"2013";"Año";"-1,4"
"2014";"Año";"1,1"
"2015";"Año";"2"
"2016";"Año";"2,4"
"2017";"Año";"2,4"
"2018";"Año";"2,2"
"2019";"Año";"1,6"
"2020";"Año";"-4,3"
"2021";"Año";"1,1"
"2022";"Año";"3,9"
;;
;;
"Métrica":"Variación de la media en lo que va de año"
"Fuente":"INE"
"Clasificación":""
"Unidad":"%"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-ocupacion-sector-servicios/dfe93e4c-e7ac-4838-a0d5-e16a6223b834"
"Titulo":"Evolución de la ocupación en el sector servicios"
"Subtitulo":""
