"Año";"Periodo";"Variación anual"
"2004";"Octubre";"1,43"
"2004";"Noviembre";"1,85"
"2004";"Diciembre";"1,74"
"2005";"Enero";"3,13"
"2005";"Febrero";"3,09"
"2005";"Marzo";"3,2"
"2005";"Abril";"2,99"
"2005";"Mayo";"3,29"
"2005";"Junio";"3,63"
"2005";"Julio";"3,43"
"2005";"Agosto";"3,64"
"2005";"Septiembre";"4,22"
"2005";"Octubre";"4,27"
"2005";"Noviembre";"4,39"
"2005";"Diciembre";"4,21"
"2006";"Enero";"2,54"
"2006";"Febrero";"2,67"
"2006";"Marzo";"2,76"
"2006";"Abril";"2,58"
"2006";"Mayo";"2,79"
"2006";"Junio";"2,35"
"2006";"Julio";"2,36"
"2006";"Agosto";"2,15"
"2006";"Septiembre";"2,07"
"2006";"Octubre";"2,33"
"2006";"Noviembre";"2,15"
"2006";"Diciembre";"2,07"
"2007";"Enero";"2,67"
"2007";"Febrero";"2,76"
"2007";"Marzo";"2,94"
"2007";"Abril";"2,52"
"2007";"Mayo";"2,15"
"2007";"Junio";"2,11"
"2007";"Julio";"2,2"
"2007";"Agosto";"2,27"
"2007";"Septiembre";"2,07"
"2007";"Octubre";"2,13"
"2007";"Noviembre";"1,88"
"2007";"Diciembre";"1,87"
"2008";"Enero";"1,75"
"2008";"Febrero";"1,68"
"2008";"Marzo";"0,98"
"2008";"Abril";"1,08"
"2008";"Mayo";"0,63"
"2008";"Junio";"0,12"
"2008";"Julio";"-0,36"
"2008";"Agosto";"-0,96"
"2008";"Septiembre";"-1,31"
"2008";"Octubre";"-2,39"
"2008";"Noviembre";"-3,34"
"2008";"Diciembre";"-4,02"
"2009";"Enero";"-4,87"
"2009";"Febrero";"-5,91"
"2009";"Marzo";"-6,56"
"2009";"Abril";"-6,83"
"2009";"Mayo";"-6,8"
"2009";"Junio";"-6,67"
"2009";"Julio";"-6,55"
"2009";"Agosto";"-6,27"
"2009";"Septiembre";"-5,92"
"2009";"Octubre";"-5,24"
"2009";"Noviembre";"-4,34"
"2009";"Diciembre";"-3,99"
"2010";"Enero";"-3,38"
"2010";"Febrero";"-2,62"
"2010";"Marzo";"-1,91"
"2010";"Abril";"-1,61"
"2010";"Mayo";"-1,32"
"2010";"Junio";"-1,03"
"2010";"Julio";"-1,24"
"2010";"Agosto";"-0,72"
"2010";"Septiembre";"-0,63"
"2010";"Octubre";"-0,68"
"2010";"Noviembre";"-0,39"
"2010";"Diciembre";"-0,11"
"2011";"Enero";"-0,43"
"2011";"Febrero";"-0,32"
"2011";"Marzo";"-0,37"
"2011";"Abril";"0,07"
"2011";"Mayo";"-0,06"
"2011";"Junio";"-0,45"
"2011";"Julio";"-0,45"
"2011";"Agosto";"-0,68"
"2011";"Septiembre";"-0,53"
"2011";"Octubre";"-1,03"
"2011";"Noviembre";"-1,46"
"2011";"Diciembre";"-1,75"
"2012";"Enero";"-1,62"
"2012";"Febrero";"-2,29"
"2012";"Marzo";"-2,45"
"2012";"Abril";"-3,05"
"2012";"Mayo";"-3,18"
"2012";"Junio";"-3,32"
"2012";"Julio";"-3,14"
"2012";"Agosto";"-3,03"
"2012";"Septiembre";"-3,53"
"2012";"Octubre";"-3,15"
"2012";"Noviembre";"-3,33"
"2012";"Diciembre";"-3,12"
"2013";"Enero";"-2,94"
"2013";"Febrero";"-2,57"
"2013";"Marzo";"-2,11"
"2013";"Abril";"-2,06"
"2013";"Mayo";"-1,67"
"2013";"Junio";"-1,38"
"2013";"Julio";"-1,16"
"2013";"Agosto";"-1,02"
"2013";"Septiembre";"-0,8"
"2013";"Octubre";"-0,78"
"2013";"Noviembre";"-0,39"
"2013";"Diciembre";"-0,36"
"2014";"Enero";"-0,57"
"2014";"Febrero";"-0,3"
"2014";"Marzo";"-0,22"
"2014";"Abril";"0,83"
"2014";"Mayo";"1,07"
"2014";"Junio";"1,66"
"2014";"Julio";"1,81"
"2014";"Agosto";"1,73"
"2014";"Septiembre";"1,88"
"2014";"Octubre";"1,82"
"2014";"Noviembre";"1,72"
"2014";"Diciembre";"1,87"
"2015";"Enero";"1,57"
"2015";"Febrero";"1,65"
